Year (CE),Vance22,Porter21,Linsley08,Godkin21,Buckley19
865,0.591940575,,,,
866,0.559150728,,,,
867,0.528388025,,,,
868,0.424528094,,,,
869,0.47977993,,,,
870,0.859435753,,,,
871,1.122756469,,,,
872,1.108276774,,,,
873,0.704719742,,,,
874,0.309017742,,,,
875,-0.02486047,,,,
876,-0.291492502,,,,
877,-0.490229031,,,,
878,-0.555693979,,,,
879,-0.649026279,,,,
880,-0.674945162,,,,
881,-0.667202837,,,,
882,-0.676914856,,,,
883,-0.608468049,,,,
884,-0.469549969,,,,
885,-0.270447299,,,,
886,-0.057043829,,,,
887,0.188619714,,,,
888,0.414784216,,,,
889,0.677033829,,,,
890,0.933760299,,,,
891,0.918001731,,,,
892,1.051540902,,,,
893,1.326057638,,,,
894,1.204515489,,,,
895,1.009916504,,,,
896,0.773196132,,,,
897,0.558590307,,,,
898,0.386807155,,,,
899,0.8401246,,,,
900,0.881225496,,,,
901,0.983394774,,,,
902,1.138692633,,,,
903,1.27854589,,,,
904,1.332272957,,,,
905,1.205263792,,,,
906,1.098331725,,,,
907,1.067560159,,,,
908,0.977564879,,,,
909,0.958518629,,,,
910,0.95010893,,,,
911,0.944475405,,,,
912,0.966770608,,,,
913,1.043216219,,,,
914,1.118788307,,,,
915,1.228063292,,,,
916,1.303818662,,,,
917,1.138737592,,,,
918,0.960184234,,,,
919,0.82495114,,,,
920,0.708152615,,,,
921,0.658448499,,,,
922,0.726039123,,,,
923,0.876897513,,,,
924,1.137244918,,,,
925,1.072692695,,,,
926,0.910362582,,,,
927,0.625518721,,,,
928,0.315039214,,,,
929,0.055131886,,,,
930,-0.157715278,,,,
931,-0.172724098,,,,
932,0.12608816,,,,
933,0.161046235,,,,
934,0.158871955,,,,
935,0.155026939,,,,
936,0.090642372,,,,
937,-0.043025823,,,,
938,-0.216443284,,,,
939,-0.404648477,,,,
940,-0.535950154,,,,
941,-0.638698357,,,,
942,-0.710785816,,,,
943,-0.776291529,,,,
944,-0.796856579,,,,
945,-0.807416419,,,,
946,-0.778554016,,,,
947,-0.69501629,,,,
948,-0.625340763,,,,
949,-0.493056779,,,,
950,-0.230056074,,,,
951,0.228039229,,,,
952,0.685766487,,,,
953,1.164779846,,,,
954,0.43750949,,,,
955,-0.063332082,,,,
956,-0.098754078,,,,
957,-0.087568225,,,,
958,-0.085256971,,,,
959,-0.041860107,,,,
960,0.036760688,,,,
961,0.094219038,,,,
962,0.133340613,,,,
963,0.18522079,,,,
964,0.214305906,,,,
965,0.198215417,,,,
966,0.168313523,,,,
967,0.168078459,,,,
968,0.150535171,,,,
969,0.112605904,,,,
970,0.13599106,,,,
971,0.180891775,,,,
972,0.213689463,,,,
973,0.273266021,,,,
974,0.336671136,,,,
975,0.401486165,,,,
976,0.018037944,,,,
977,0.187245279,,,,
978,0.36418158,,,,
979,0.529095452,,,,
980,0.660599485,,,,
981,0.795744881,,,,
982,0.807794365,,,,
983,0.7519172,,,,
984,0.625316888,,,,
985,0.39209882,,,,
986,0.125795979,,,,
987,0.394868795,,,,
988,0.26834669,,,,
989,0.15627017,,,,
990,0.087746681,,,,
991,0.033371694,,,,
992,0.014261391,,,,
993,0.028743919,,,,
994,0.049546945,,,,
995,0.091528017,,,,
996,0.188667533,,,,
997,0.214561251,,,,
998,0.278089799,,,,
999,0.331788991,,,,
1000,-0.070972395,,,,
1001,0.035391616,,,,
1002,0.16634197,,,,
1003,0.222506042,,,,
1004,0.295580252,,,,
1005,0.330466063,,,,
1006,0.345653833,,,,
1007,0.357818554,,,,
1008,0.349134844,,,,
1009,1.027325689,,,,
1010,1.199942793,,,,
1011,0.670052992,,,,
1012,0.202491067,,,,
1013,0.314313029,,,,
1014,0.104510352,,,,
1015,-0.002308646,,,,
1016,0.015805682,,,,
1017,0.077017964,,,,
1018,0.210727545,,,,
1019,0.405687575,,,,
1020,0.620238189,,,,
1021,0.870936969,,,,
1022,1.10306098,,,,
1023,1.322288946,,,,
1024,1.116302799,,,,
1025,0.886568369,,,,
1026,0.708846052,,,,
1027,0.544042458,,,,
1028,0.458323484,,,,
1029,0.39633021,,,,
1030,0.439203774,,,,
1031,0.526496125,,,,
1032,0.712856029,,,,
